,camp_name,id,year,campyearid,location,target,territory,terr_iso,target_country,targ_iso,status,cyear,camp_beyear,start_date,start_year,start_date_source,end_date,end_year,end_date_source,camp_duration,prim_meth,resis_meth,camp_goals,goalschange,camp_orgs,camp_orgs_list,camp_size,camp_size_cat,total_part,camp_confl_intensity,violent_flank,flank_intensity,flank_scope,flank_response,camp_structure,media_outreach,cdivers,cdivers_types,div_class,div_ideology,div_regional,div_ethnicity,div_religion,parall_instit,parall_instit_types,pi_education,pi_soc_welfare,pi_trad_media,pi_new_media,pi_police,pi_armed_wing,pi_courts,pi_pol_party,pi_pol_wing,repression,indiscrim,fatalities_range,audience_backlash,ab_domestic,ab_internat,ab_int_mat,camp_backlash,sec_defect,state_defect,wdrwl_support,camp_support,sdirect,slifted,in_media,dom_media,pop_opinion,ra_initials,tccode,lccode,start_date_obsolete,end_date_obsolete,success,progress,progress_names,goal_names,Time,PopTotal,percent_participation
10,Afghan Resistance,3,1982,3_1982,Afghanistan,Soviet occupation,Afghanistan,4,Afghanistan,643,0,1,0,25/12/1979,1979,"Blood, Peter R. Afghanistan: A Country Study. Washington: GPO for the Library of Congress, 2001. Date is date of the Soviet Invation",14/04/1988,1988,"Kakar, M. Hassan. Afghanistan: The Soviet Invasion and the Afghan Response, 1979-1982. Berkely, University of California Press.  Date is the signing of the Geneva accords under which the Soviets agreed to withdraw from AFG",10,0,0,5,0,1,Nasr,2,1,45500,3,0,,,,0,1,1,"1,2,3,4,5,6,7,8,9",1,1,1,1,1,1,"4,5,7,8,9,10",0,0,0,1,1,0,1,1,1,3,1,6,"1,2,3",1,1,1,3,1,0,0,1,0,0,2,2,2,,365,700,25/12/1979,14/04/1988,0,0,status quo,greater autonomy,1982,10088289,0.451018007
11,Afghan Resistance,3,1983,3_1983,Afghanistan,Soviet occupation,Afghanistan,4,Afghanistan,643,0,1,0,25/12/1979,1979,"Blood, Peter R. Afghanistan: A Country Study. Washington: GPO for the Library of Congress, 2001. Date is date of the Soviet Invation",14/04/1988,1988,"Kakar, M. Hassan. Afghanistan: The Soviet Invasion and the Afghan Response, 1979-1982. Berkely, University of California Press.  Date is the signing of the Geneva accords under which the Soviets agreed to withdraw from AFG",10,0,0,5,0,0,,2,1,59500,3,0,,,,0,1,1,"1,2,3,4,5,6,7,8,9",1,1,1,1,1,1,"4,5,7,8,9,10",0,0,0,1,1,0,1,1,1,3,1,6,"1,2,3",1,1,1,3,1,0,0,1,0,0,2,2,1,,365,700,25/12/1979,14/04/1988,0,2,limited concession achieved,greater autonomy,1983,9951449,0.597902878
12,Afghan Resistance,3,1984,3_1984,Afghanistan,Soviet occupation,Afghanistan,4,Afghanistan,643,0,1,0,25/12/1979,1979,"Blood, Peter R. Afghanistan: A Country Study. Washington: GPO for the Library of Congress, 2001. Date is date of the Soviet Invation",14/04/1988,1988,"Kakar, M. Hassan. Afghanistan: The Soviet Invasion and the Afghan Response, 1979-1982. Berkely, University of California Press.  Date is the signing of the Geneva accords under which the Soviets agreed to withdraw from AFG",10,0,0,5,0,0,,2,1,59500,3,0,,,,0,1,1,"1,2,3,4,5,6,7,8,9",1,1,1,1,1,1,"4,5,7,8,9,10",0,0,0,1,1,0,1,1,1,3,1,6,"1,2,3",1,1,1,3,1,0,0,1,0,0,2,2,1,,365,700,25/12/1979,14/04/1988,0,0,status quo,greater autonomy,1984,10243686,0.580845606
13,Afghan Resistance,3,1985,3_1985,Afghanistan,Soviet occupation,Afghanistan,4,Afghanistan,643,0,1,0,25/12/1979,1979,"Blood, Peter R. Afghanistan: A Country Study. Washington: GPO for the Library of Congress, 2001. Date is date of the Soviet Invation",14/04/1988,1988,"Kakar, M. Hassan. Afghanistan: The Soviet Invasion and the Afghan Response, 1979-1982. Berkely, University of California Press.  Date is the signing of the Geneva accords under which the Soviets agreed to withdraw from AFG",10,0,0,5,0,1,the Islamic Unity of Afghan Mujahidin,2,1,62500,3,0,,,,0,1,1,"1,2,3,4,5,6,7,8,9",1,1,1,1,1,1,"4,5,7,8,9,10",0,0,0,1,1,0,1,1,1,3,1,6,"1,2,3",1,1,1,3,1,0,0,1,0,0,2,2,1,,365,700,25/12/1979,14/04/1988,0,2,limited concession achieved,greater autonomy,1985,10512221,0.5945461
14,Afghan Resistance,3,1986,3_1986,Afghanistan,Soviet occupation,Afghanistan,4,Afghanistan,643,0,1,0,25/12/1979,1979,"Blood, Peter R. Afghanistan: A Country Study. Washington: GPO for the Library of Congress, 2001. Date is date of the Soviet Invation",14/04/1988,1988,"Kakar, M. Hassan. Afghanistan: The Soviet Invasion and the Afghan Response, 1979-1982. Berkely, University of California Press.  Date is the signing of the Geneva accords under which the Soviets agreed to withdraw from AFG",10,0,0,5,0,0,,2,1,62500,3,0,,,,0,1,1,"1,2,3,4,5,6,7,8,9",1,1,1,1,1,1,"1,3,4,5,7,8,9,10",1,0,1,1,1,0,1,1,1,3,1,6,"1,2,3",1,1,1,3,1,0,0,1,0,0,2,2,1,,365,700,25/12/1979,14/04/1988,0,3,significant concessions achieved,greater autonomy,1986,10448442,0.598175307
15,Afghan Resistance,3,1987,3_1987,Afghanistan,Soviet occupation,Afghanistan,4,Afghanistan,643,0,1,0,25/12/1979,1979,"Blood, Peter R. Afghanistan: A Country Study. Washington: GPO for the Library of Congress, 2001. Date is date of the Soviet Invation",14/04/1988,1988,"Kakar, M. Hassan. Afghanistan: The Soviet Invasion and the Afghan Response, 1979-1982. Berkely, University of California Press.  Date is the signing of the Geneva accords under which the Soviets agreed to withdraw from AFG",10,0,0,5,0,0,,2,1,62500,3,0,,,,0,1,1,"1,2,3,4,5,6,7,8,9",1,1,1,1,1,1,"1,3,4,5,7,8,9,10",1,0,1,1,1,0,1,1,1,3,1,5,"1,2,3",1,1,1,3,1,0,0,1,0,0,2,2,1,,365,700,25/12/1979,14/04/1988,0,3,significant concessions achieved,greater autonomy,1987,10322758,0.605458347
16,Afghan Resistance,3,1988,3_1988,Afghanistan,Soviet occupation,Afghanistan,4,Afghanistan,643,0,2,0,25/12/1979,1979,"Blood, Peter R. Afghanistan: A Country Study. Washington: GPO for the Library of Congress, 2001. Date is date of the Soviet Invation",14/04/1988,1988,"Kakar, M. Hassan. Afghanistan: The Soviet Invasion and the Afghan Response, 1979-1982. Berkely, University of California Press.  Date is the signing of the Geneva accords under which the Soviets agreed to withdraw from AFG",10,0,0,5,0,0,,2,1,62500,3,0,,,,0,1,1,"1,2,3,4,5,6,7,8,9",1,1,1,1,1,1,"1,3,4,5,7,8,9,10",1,0,1,1,1,0,1,1,1,3,1,5,"1,2,3",1,1,1,3,1,0,0,1,0,0,2,2,1,,365,700,25/12/1979,14/04/1988,1,4,complete success,greater autonomy,1988,10383460,0.601918821
17,Afghans,4,1978,4_1978,Afghanistan,Afghan government,,,Afghanistan,4,0,0,1,27/04/1978,1978,"Kakar, M. Hassan. Afghanistan: The Soviet Invasion and the Afghan Response, 1979-1982. Borders, William. ""Coup is Reported in Afghanistan: Rebels Say They Killed the President."" The New York Times 4/28/78",28/04/1978,1978,"Kakar, M. Hassan. Afghanistan: The Soviet Invasion and the Afghan Response, 1979-1982. Borders, William. ""Coup is Reported in Afghanistan: Rebels Say They Killed the President."" The New York Times 4/28/78",1,0,0,0,0,3,"Afghan Democratic Party (Parcham), Khalq, People's Democratic Party of Afghanistan (PDPA)",2,1,10000,2,0,,,,0,0,1,"2,3,4,5",1,1,0,0,0,1,"3,8,9,10",0,0,1,0,0,0,0,1,1,3,0,5,0,0,0,0,3,1,0,0,0,0,0,2,-99,-99,,700,700,27/04/1978,28/04/1978,1,4,complete success,regime change,1978,12938862,0.07728655
18,Albania Anti-Communist,5,1989,5_1989,Albania,Communist regime,,,Albania,8,0,0,0,27/12/1989,1989,"Chamberlain, Greg. ""Albania Crushes Anti-Communist Protest."" The Guardian. 12/28/89",06/01/1991,1991,"Global Nonviolent Action Database. ""Albanian Workers Force Shift Toward Democracy, 1991."" Accessed 8/4/16",3,1,0,0,0,0,,-99,-99,-99,0,1,0,0,0,0,1,1,"1,2,5",0,1,0,0,0,1,3,0,0,1,0,0,0,0,0,0,1,0,-99,"1,2",1,1,0,3,0,0,0,0,0,0,0,1,-99,,339,339,27/12/1989,06/01/1991,0,2,limited concession achieved,regime change,1989,3282182,-0.003016286
19,Albania Anti-Communist,5,1990,5_1990,Albania,Communist regime,,,Albania,8,0,1,0,27/12/1989,1989,"Chamberlain, Greg. ""Albania Crushes Anti-Communist Protest."" The Guardian. 12/28/89",06/01/1991,1991,"Global Nonviolent Action Database. ""Albanian Workers Force Shift Toward Democracy, 1991."" Accessed 8/4/16",3,1,0,0,0,2,"Forum for the Defense of Human Rights and Fundamental Freedoms, Democratic Party of Albania",2,1,15000,0,2,2,2,1,0,1,1,"1,2,5,6",0,1,0,0,0,1,"3,8",0,0,1,0,0,0,0,1,0,2,1,0,"1,2",1,1,0,3,0,1,0,0,0,0,1,2,-99,,339,339,27/12/1989,06/01/1991,0,3,significant concessions achieved,regime change,1990,3295066,0.455226087
20,Albania Anti-Communist,5,1991,5_1991,Albania,Communist regime,,,Albania,8,0,2,0,27/12/1989,1989,"Chamberlain, Greg. ""Albania Crushes Anti-Communist Protest."" The Guardian. 12/28/89",06/01/1991,1991,"Global Nonviolent Action Database. ""Albanian Workers Force Shift Toward Democracy, 1991."" Accessed 8/4/16",3,1,0,0,0,2,"Ecology Party, Republican Party",3,2,300000,2,2,2,1,1,1,1,1,"1,2,3,4,5,6,7,8,9",1,1,1,1,1,1,"3,8",0,0,1,0,0,0,0,1,0,3,1,2,"1,2",1,1,0,3,0,1,0,0,0,0,2,2,1,,339,339,27/12/1989,06/01/1991,1,4,complete success,regime change,1991,3302081,9.085179921
21,Algerian Revolt/ National Liberation Front,6,1952,6_1952,Algeria,French occupation,Algeria,12,France,250,0,0,0,14/05/1952,1952,"New York Times: ""Algerian Seized After Clash."" 5/15/52. Proquest Historical Newspapers, accessed 8/4/16",07/03/1962,1962,"Evans, Martin, and Phillips, John. Algeria : Anger of the Dispossessed. New Haven, CT, USA: Yale University Press, 2008. ProQuest ebrary. Web. 4 August 2016",11,1,0,5,0,2,"Mouvement pour les Triomphes des Libertes Democratiques, Organisation Speciale (OS)",-99,-99,-99,2,2,3,2,2,1,0,1,"3,4,5,7",1,1,1,0,0,1,"7,8",0,0,0,0,0,0,1,1,0,3,0,1,-99,-99,-99,-99,0,-99,0,-99,-99,0,-99,1,2,-99,,220,615,14/05/1952,07/03/1962,0,0,status quo,greater autonomy,1952,9521702,-0.00103973
22,Algerian Revolt/ National Liberation Front,6,1953,6_1953,Algeria,French occupation,Algeria,12,France,250,0,1,0,14/05/1952,1952,"New York Times: ""Algerian Seized After Clash."" 5/15/52. Proquest Historical Newspapers, accessed 8/4/16",07/03/1962,1962,"Evans, Martin, and Phillips, John. Algeria : Anger of the Dispossessed. New Haven, CT, USA: Yale University Press, 2008. ProQuest ebrary. Web. 4 August 2016",11,1,0,5,0,0,,-99,-99,-99,2,2,3,2,2,1,0,1,5,0,1,0,0,0,1,"7,8",0,0,0,0,0,0,1,1,0,3,0,0,-99,-99,-99,-99,0,-99,0,-99,-99,0,-99,1,1,-99,,220,615,14/05/1952,07/03/1962,0,0,status quo,greater autonomy,1953,9771686,-0.001013131
23,Algerian Revolt/ National Liberation Front,6,1954,6_1954,Algeria,French occupation,Algeria,12,France,250,0,1,0,14/05/1952,1952,"New York Times: ""Algerian Seized After Clash."" 5/15/52. Proquest Historical Newspapers, accessed 8/4/16",07/03/1962,1962,"Evans, Martin, and Phillips, John. Algeria : Anger of the Dispossessed. New Haven, CT, USA: Yale University Press, 2008. ProQuest ebrary. Web. 4 August 2016",11,0,1,5,0,2,"Front de Liberation Nationale (FLN: National Liberation Front), Mouvement pour le Triomphe des Libertes Democratiques, Armee de Liberation Nationale (ALN), Mouvement National Algerien (MNA)",1,0,1000,3,0,,,,1,1,1,"1,2,3,4,5,6,7",1,1,1,0,0,1,"3,7,8,9",0,0,1,0,0,0,1,1,1,3,1,6,"2,3",0,1,1,0,-99,0,-99,1,0,-99,2,2,-99,,220,615,14/05/1952,07/03/1962,0,0,status quo,greater autonomy,1954,10011541,0.009988472
24,Algerian Revolt/ National Liberation Front,6,1955,6_1955,Algeria,French occupation,Algeria,12,France,250,0,1,0,14/05/1952,1952,"New York Times: ""Algerian Seized After Clash."" 5/15/52. Proquest Historical Newspapers, accessed 8/4/16",07/03/1962,1962,"Evans, Martin, and Phillips, John. Algeria : Anger of the Dispossessed. New Haven, CT, USA: Yale University Press, 2008. ProQuest ebrary. Web. 4 August 2016",11,0,0,5,0,0,,2,1,15000,3,0,,,,1,1,1,"1,2,3,4,5,6,7",1,1,1,0,0,1,"3,7,8,9,10",0,0,1,0,0,0,1,1,1,3,1,6,"2,3",0,1,1,0,-99,0,-99,1,0,-99,2,2,-99,,220,615,14/05/1952,07/03/1962,0,0,status quo,greater autonomy,1955,10242288,0.146451652
25,Algerian Revolt/ National Liberation Front,6,1956,6_1956,Algeria,French occupation,Algeria,12,France,250,0,1,0,14/05/1952,1952,"New York Times: ""Algerian Seized After Clash."" 5/15/52. Proquest Historical Newspapers, accessed 8/4/16",07/03/1962,1962,"Evans, Martin, and Phillips, John. Algeria : Anger of the Dispossessed. New Haven, CT, USA: Yale University Press, 2008. ProQuest ebrary. Web. 4 August 2016",11,0,0,5,0,2,"Algerian Communist Party, Association of the Algerian Ulema",2,1,37600,3,0,,,,1,1,1,"1,2,3,4,5,6,7",1,1,1,0,0,1,"3,7,8,9,10",0,0,1,0,0,0,1,1,1,3,1,6,"2,3",0,1,1,3,-99,0,-99,1,0,-99,2,2,-99,,220,615,14/05/1952,07/03/1962,0,0,status quo,greater autonomy,1956,10473168,0.359012669
26,Algerian Revolt/ National Liberation Front,6,1957,6_1957,Algeria,French occupation,Algeria,12,France,250,0,1,0,14/05/1952,1952,"New York Times: ""Algerian Seized After Clash."" 5/15/52. Proquest Historical Newspapers, accessed 8/4/16",07/03/1962,1962,"Evans, Martin, and Phillips, John. Algeria : Anger of the Dispossessed. New Haven, CT, USA: Yale University Press, 2008. ProQuest ebrary. Web. 4 August 2016",11,0,0,5,0,0,,2,1,37600,3,0,,,,1,1,1,"1,2,3,4,5,6,7",1,1,1,0,0,1,"3,7,8,9,10",0,0,1,0,0,0,1,1,1,3,1,6,"2,3",0,1,1,3,-99,0,-99,1,-99,-99,2,2,-99,,220,615,14/05/1952,07/03/1962,0,0,status quo,greater autonomy,1957,10703251,0.351295135
27,Algerian Revolt/ National Liberation Front,6,1958,6_1958,Algeria,French occupation,Algeria,12,France,250,0,1,0,14/05/1952,1952,"New York Times: ""Algerian Seized After Clash."" 5/15/52. Proquest Historical Newspapers, accessed 8/4/16",07/03/1962,1962,"Evans, Martin, and Phillips, John. Algeria : Anger of the Dispossessed. New Haven, CT, USA: Yale University Press, 2008. ProQuest ebrary. Web. 4 August 2016",11,0,0,5,0,0,Provisional Government of the Algerian Republic,2,1,37600,3,0,,,,1,1,1,"1,2,3,4,5,6,7",1,1,1,0,0,1,"3,7,8,9,10",0,0,1,0,0,0,1,1,1,3,1,6,"2,3",0,1,1,3,-99,0,-99,1,0,-99,2,2,-99,,220,615,14/05/1952,07/03/1962,0,0,status quo,greater autonomy,1958,10933784,0.343888264
28,Algerian Revolt/ National Liberation Front,6,1959,6_1959,Algeria,French occupation,Algeria,12,France,250,0,1,0,14/05/1952,1952,"New York Times: ""Algerian Seized After Clash."" 5/15/52. Proquest Historical Newspapers, accessed 8/4/16",07/03/1962,1962,"Evans, Martin, and Phillips, John. Algeria : Anger of the Dispossessed. New Haven, CT, USA: Yale University Press, 2008. ProQuest ebrary. Web. 4 August 2016",11,0,0,5,0,0,,2,1,37600,3,0,,,,1,1,1,"1,2,3,4,5,6,7",1,1,1,0,0,1,"3,7,8,9,10",0,0,1,0,0,0,1,1,1,3,1,6,"2,3",0,1,1,3,-99,0,-99,1,0,-99,2,2,-99,,220,615,14/05/1952,07/03/1962,0,2,limited concession achieved,greater autonomy,1959,11164443,0.336783483
29,Algerian Revolt/ National Liberation Front,6,1960,6_1960,Algeria,French occupation,Algeria,12,France,250,0,1,0,14/05/1952,1952,"New York Times: ""Algerian Seized After Clash."" 5/15/52. Proquest Historical Newspapers, accessed 8/4/16",07/03/1962,1962,"Evans, Martin, and Phillips, John. Algeria : Anger of the Dispossessed. New Haven, CT, USA: Yale University Press, 2008. ProQuest ebrary. Web. 4 August 2016",11,0,0,5,0,0,Armee Nationale Populaire (ANP),2,1,37600,3,0,,,,1,1,1,"1,2,3,4,5,6,7",1,1,1,0,0,1,"7,8,9,10",0,0,0,0,0,0,1,1,1,3,1,6,"2,3",0,1,1,3,-99,0,-99,1,0,-99,2,2,-99,,220,615,14/05/1952,07/03/1962,0,0,status quo,greater autonomy,1960,11394307,0.329989353
30,Algerian Revolt/ National Liberation Front,6,1961,6_1961,Algeria,French occupation,Algeria,12,France,250,0,1,0,14/05/1952,1952,"New York Times: ""Algerian Seized After Clash."" 5/15/52. Proquest Historical Newspapers, accessed 8/4/16",07/03/1962,1962,"Evans, Martin, and Phillips, John. Algeria : Anger of the Dispossessed. New Haven, CT, USA: Yale University Press, 2008. ProQuest ebrary. Web. 4 August 2016",11,0,0,5,0,0,,2,1,37600,3,0,,,,1,1,1,"1,2,3,4,5,6,7",1,1,1,0,0,1,"3,7,8,9,10",0,0,1,0,0,0,1,1,1,3,1,6,"2,3",0,1,1,3,-99,0,-99,1,0,-99,2,2,-99,,220,615,14/05/1952,07/03/1962,0,0,status quo,greater autonomy,1961,11598608,0.324176832
31,Algerian Revolt/ National Liberation Front,6,1962,6_1962,Algeria,French occupation,Algeria,12,France,250,0,2,0,14/05/1952,1952,"New York Times: ""Algerian Seized After Clash."" 5/15/52. Proquest Historical Newspapers, accessed 8/4/16",07/03/1962,1962,"Evans, Martin, and Phillips, John. Algeria : Anger of the Dispossessed. New Haven, CT, USA: Yale University Press, 2008. ProQuest ebrary. Web. 4 August 2016",11,0,0,5,0,0,,2,1,37600,3,0,,,,1,1,1,"1,2,3,4,5,6,7",1,1,1,0,0,1,"3,7,8,9,10",0,0,1,0,0,0,1,1,1,3,1,6,"2,3",0,1,1,0,-99,0,-99,1,0,-99,2,2,-99,,220,615,14/05/1952,07/03/1962,1,4,complete success,greater autonomy,1962,11778260,0.319232213
32,Anti-Arap Moi,7,1990,7_1990,Kenya,Daniel Arap Moi,,,Kenya,404,0,0,0,01/01/1990,1990,"Widner, Jennifer. The Rise of a Party-State in Kenya: From ""Harambee!"" to ""Nyayo!"". 1993.  p192.",03/12/1991,1991,"Widner, Jennifer. The Rise of a Party-State in Kenya: From ""Harambee!"" to ""Nyayo!"". 1993.  p196.",2,1,0,0,0,-99,,1,0,6000,0,2,2,2,1,1,1,1,"2,3,7,9",1,0,1,0,1,1,8,0,0,0,0,0,0,0,1,0,3,1,3,"2,3",0,1,1,3,0,0,1,1,-99,-99,2,2,-99,,501,501,01/01/1990,03/12/1991,0,1,visible gains short of concessions,regime change,1990,23162269,0.025904198
